model_name,aux_pair,distance,role,item_id,effect,n_rows,random_effect
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1035,0.5894097222222222,54,-0.02806712962962963
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1062,0.7786458333333334,54,0.013165509259259259
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1074,0.7660590277777778,54,0.011140046296296295
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1079,0.8770254629629629,54,0.007233796296296296
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__110,0.6257233796296297,54,-0.002459490740740741
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1101,0.6740451388888888,54,-0.002025462962962963
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1111,0.9231770833333334,54,0.005063657407407407
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1132,0.39453125,54,0.0030381944444444445
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1164,0.24247685185185186,54,-0.00028935185185185184
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1176,0.4852430555555556,54,-0.0028935185185185184
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1179,0.4427083333333333,54,0.009403935185185185
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1230,0.7456597222222222,54,0.004050925925925926
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1240,0.7690972222222222,54,0.0007233796296296296
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__125,0.29701967592592593,54,0.0011574074074074073
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1256,0.5564236111111112,54,0.00535300925925926
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1296,0.7834201388888888,54,0.004340277777777778
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1306,0.7146990740740741,54,-0.008680555555555556
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1327,0.5005787037037037,54,0.008246527777777778
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1360,0.6911168981481481,54,0.0030381944444444445
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1402,0.49508101851851855,54,0.001591435185185185
llama32_3b,be_present,extra_long,between_subject_distractor,be_present__extra_long__1413,0.4826388888888889,54,0.008101851851851851
